"","text","emotion","polarity"
"197","our first new avtalk episode of the year — we review what we know about the crash of sj in indonesia boeing’s defer…","neutral","positive"
"198","sending our prayers to the passengers and families of sj everyone affected by the landslide in sumedang earthquake in…","neutral","positive"
"199","our first new avtalk episode of the year — we review what we know about the crash of sj in indonesia boeing’s defer…","neutral","positive"
"200","our first new avtalk episode of the year — we review what we know about the crash of sj in indonesia boeing’s defer…","neutral","positive"
"201","stay safe and take care indonesia kamchaisall of us pray the best for youall the family of passengers sj we send…","joy","positive"
"202","sending our prayers to the passengers and families of sj everyone affected by the landslide in sumedang earthquake in…","neutral","positive"
"203","sending our prayers to the passengers and families of sj everyone affected by the landslide in sumedang earthquake in…","neutral","positive"
"204","our first new avtalk episode of the year — we review what we know about the crash of sj in indonesia boeing’s defer…","neutral","positive"
"205","sending our prayers to the passengers and families of sj everyone affected by the landslide in sumedang earthquake in…","neutral","positive"
"206","my heart grieves and hurts for my country <U+0001F1F2><U+0001F1E8> <U+0001F494>

so much happened in this earlyeither its good or bad things everything…","joy","neutral"
"207","our first new avtalk episode of the year — we review what we know about the crash of sj in indonesia boeing’s defer…","neutral","positive"
"208","sending our prayers to the passengers and families of sj everyone affected by the landslide in sumedang earthquake in…","neutral","positive"
"209","sending our prayers to the passengers and families of sj everyone affected by the landslide in sumedang earthquake in…","neutral","positive"
"210","our first new avtalk episode of the year — we review what we know about the crash of sj in indonesia boeing’s defer…","neutral","positive"
"211","our first new avtalk episode of the year — we review what we know about the crash of sj in indonesia boeing’s defer…","neutral","positive"
"212","sending our prayers to the passengers and families of sj everyone affected by the landslide in sumedang earthquake in…","neutral","positive"
"213","sending our prayers to the passengers and families of sj everyone affected by the landslide in sumedang earthquake in…","neutral","positive"
"214","our first new avtalk episode of the year — we review what we know about the crash of sj in indonesia boeing’s defer…","neutral","positive"
"215","our first new avtalk episode of the year — we review what we know about the crash of sj in indonesia boeing’s defer…","neutral","positive"
"216","our first new avtalk episode of the year — we review what we know about the crash of sj in indonesia boeing’s…","neutral","positive"
"217","sending our prayers to the passengers and families of sj everyone affected by the landslide in sumedang earthquake in…","neutral","positive"
"218","sending our prayers to the passengers and families of sj everyone affected by the landslide in sumedang earthquake in…","neutral","positive"
"219","sending our prayers to the passengers and families of sj everyone affected by the landslide in sumedang earthquake in…","neutral","positive"
"220","sending our prayers to the passengers and families of sj everyone affected by the landslide in sumedang earthquake in…","neutral","positive"
"221","sending our prayers to the passengers and families of sj everyone affected by the landslide in sumedang earthquake in…","neutral","positive"
"222","sending our prayers to the passengers and families of sj everyone affected by the landslide in sumedang earthquake in…","neutral","positive"
"223","sending our prayers to the passengers and families of sj everyone affected by the landslide in sumedang earthquake in…","neutral","positive"
"224","it’s just the beginning of the year and weve been through a lot of disasters sending all prayers for this world <U+0001F97A>…","neutral","positive"
"225","sending our prayers to the passengers and families of sj everyone affected by the landslide in sumedang earthquake in…","neutral","positive"
"226","sending our prayers to the passengers and families of sj everyone affected by the landslide in sumedang earthquake in…","neutral","positive"
"227","<U+0001F195> avtalk ep— we discuss the crash of sj covid’s continuing impacts on aviation norwegian’s move away from lo…","joy","positive"
"228","sending our prayers to the passengers and families of sj everyone affected by the landslide in sumedang earthquake in…","neutral","positive"
"229","sending our prayers to the passengers and families of sj everyone affected by the landslide in sumedang earthquake in…","neutral","positive"
"230","sending our prayers to the passengers and families of sj everyone affected by the landslide in sumedang earthquake in…","neutral","positive"
"231","sending our prayers to the passengers and families of sj everyone affected by the landslide in sumedang earthquake in…","neutral","positive"
"232","sending our prayers to the passengers and families of sj everyone affected by the landslide in sumedang earthquake in…","neutral","positive"
"233","pray for 
sriwijayaairpkclcsj
banjirkalsel
longsorsumedang
mamujumajenesulbar","neutral","positive"
"234","the search for answers on sriwijaya air flight sj","neutral","negative"
"235","sending our prayers to the passengers and families of sj everyone affected by the landslide in sumedang earthquake in…","neutral","positive"
"236","inindonesia experienced several disasters starting from the fall of the sj plane the earthquake in sulaw…","neutral","neutral"
"237","heres everything you need to know about the underwater recovery operations for flight sj in the java sea …","neutral","negative"
"238","sending our prayers to the passengers and families of sj everyone affected by the landslide in sumedang earthquake in…","neutral","positive"
"239","awesome graphics that give me shivers

flight sj the search for answers","neutral","neutral"
"240","thats why

have a safe flight 
take care
i love you
see you soon

means so much
it could be our last goodbye…","joy","neutral"
"241","sj alfateha","neutral","positive"
"242","closing friday with heavy heart <U+0001F494>

sj plane crashed jakarta
landslide w dozens buried w java
massive flood south k…","joy","positive"
"243","thats why have a safe flight have a safe ride take care of yourself have a good night or i love you means so muc…","joy","positive"
"244","sriwijaya air flight sj the search for answers","neutral","negative"
"245","breaking sriwijaya sj cockpit voice recorder components found but memory storage module is still missing lets hope it…","neutral","positive"
"246","cnmpa from indonesian navy tnial th squadron flying low near kri semarangto help sj sar mi…","joy","neutral"
