"","x"
"128","sending our prayers to the passengers and families of sj everyone affected by the landslide in sumedang earthquake in…"
"129","sending our prayers to the passengers and families of sj everyone affected by the landslide in sumedang earthquake in…"
"130","sending our prayers to the passengers and families of sj everyone affected by the landslide in sumedang earthquake in…"
"131","our first new avtalk episode of the year — we review what we know about the crash of sj in indonesia boeing’s defer…"
"132","sending our prayers to the passengers and families of sj everyone affected by the landslide in sumedang earthquake in…"
"133","sending our prayers to the passengers and families of sj everyone affected by the landslide in sumedang earthquake in…"
"134","sending our prayers to the passengers and families of sj everyone affected by the landslide in sumedang earthquake in…"
"135","sending our prayers to the passengers and families of sj everyone affected by the landslide in sumedang earthquake in…"
"136","sending our prayers to the passengers and families of sj everyone affected by the landslide in sumedang earthquake in…"
"137","stay safe and take care indonesia kamchaisall of us pray the best for youall the family of passengers sj we send…"
"138","sending our prayers to the passengers and families of sj everyone affected by the landslide in sumedang earthquake in…"
"139","stay safe and take care indonesia kamchaisall of us pray the best for youall the family of passengers sj we send…"
"140","sending our prayers to the passengers and families of sj everyone affected by the landslide in sumedang earthquake in…"
"141","sending our prayers to the passengers and families of sj everyone affected by the landslide in sumedang earthquake in…"
"142","sending our prayers to the passengers and families of sj everyone affected by the landslide in sumedang earthquake in…"
"143","our first new avtalk episode of the year — we review what we know about the crash of sj in indonesia boeing’s defer…"
"144","sending our prayers to the passengers and families of sj everyone affected by the landslide in sumedang earthquake in…"
"145","sending our prayers to the passengers and families of sj everyone affected by the landslide in sumedang earthquake in…"
"146","our first new avtalk episode of the year — we review what we know about the crash of sj in indonesia boeing’s defer…"
"147","sending our prayers to the passengers and families of sj everyone affected by the landslide in sumedang earthquake in…"
"148","sending our prayers to the passengers and families of sj everyone affected by the landslide in sumedang earthquake in…"
"149","sending our prayers to the passengers and families of sj everyone affected by the landslide in sumedang earthquake in…"
"150","sending our prayers to the passengers and families of sj everyone affected by the landslide in sumedang earthquake in…"
"151","sending our prayers to the passengers and families of sj everyone affected by the landslide in sumedang earthquake in…"
"152","sending our prayers to the passengers and families of sj everyone affected by the landslide in sumedang earthquake in…"
"153","sending our prayers to the passengers and families of sj everyone affected by the landslide in sumedang earthquake in…"
"154","sending our prayers to the passengers and families of sj everyone affected by the landslide in sumedang earthquake in…"
"155","our first new avtalk episode of the year — we review what we know about the crash of sj in indonesia boeing’s defer…"
"156","our first new avtalk episode of the year — we review what we know about the crash of sj in indonesia boeing’s defer…"
"157","sending our prayers to the passengers and families of sj everyone affected by the landslide in sumedang earthquake in…"
"158","sending our prayers to the passengers and families of sj everyone affected by the landslide in sumedang earthquake in…"
"159","sending our prayers to the passengers and families of sj everyone affected by the landslide in sumedang earthquake in…"
"160","sending our prayers to the passengers and families of sj everyone affected by the landslide in sumedang earthquake…"
"161","sending our prayers to the passengers and families of sj everyone affected by the landslide in sumedang earthquake in…"
"162","sending our prayers to the passengers and families of sj everyone affected by the landslide in sumedang earthquake in…"
"163","sending our prayers to the passengers and families of sj everyone affected by the landslide in sumedang earthquake in…"
"164","sending our prayers to the passengers and families of sj everyone affected by the landslide in sumedang earthquake in…"
"165","sending our prayers to the passengers and families of sj everyone affected by the landslide in sumedang earthquake in…"
"166","sending our prayers to the passengers and families of sj everyone affected by the landslide in sumedang earthquake in…"
"167","sending our prayers to the passengers and families of sj everyone affected by the landslide in sumedang earthquake in…"
"168","sending our prayers to the passengers and families of sj everyone affected by the landslide in sumedang earthquake in…"
"169","sending our prayers to the passengers and families of sj everyone affected by the landslide in sumedang earthquake in…"
"170","stay safe and take care indonesia kamchaisall of us pray the best for youall the family of passengers sj we send…"
"171","sending our prayers to the passengers and families of sj everyone affected by the landslide in sumedang earthquake in…"
"172","sending our prayers to the passengers and families of sj everyone affected by the landslide in sumedang earthquake in…"
"173","sending our prayers to the passengers and families of sj everyone affected by the landslide in sumedang earthquake in…"
"174","update on sj
black boxes of sriwijayaair flighthave been recovered this is the first milestone in the search…"
"175","exactly a week ago in memoriam tragedy for sj but still left deepest sadness <U+0001F62D>"
"176","sending our prayers to the passengers and families of sj everyone affected by the landslide in sumedang earthquake in…"
"177","sending our prayers to the passengers and families of sj everyone affected by the landslide in sumedang earthquake in…"
"178","sending our prayers to the passengers and families of sj everyone affected by the landslide in sumedang earthquake in…"
"179","sending our prayers to the passengers and families of sj everyone affected by the landslide in sumedang earthquake in…"
"180","sending our prayers to the passengers and families of sj everyone affected by the landslide in sumedang earthquake in…"
"181","our first new avtalk episode of the year — we review what we know about the crash of sj in indonesia boeing’s defer…"
"182","sending our prayers to the passengers and families of sj everyone affected by the landslide in sumedang earthquake in…"
"183","our first new avtalk episode of the year — we review what we know about the crash of sj in indonesia boeing’s defer…"
"184","sending our prayers to the passengers and families of sj everyone affected by the landslide in sumedang earthquake in…"
"185","sending our prayers to the passengers and families of sj everyone affected by the landslide in sumedang earthquake in…"
"186","sending our prayers to the passengers and families of sj everyone affected by the landslide in sumedang earthquake in…"
"187","sending our prayers to the passengers and families of sj everyone affected by the landslide in sumedang earthquake in…"
"188","sending our prayers to the passengers and families of sj everyone affected by the landslide in sumedang earthquake in…"
"189","our first new avtalk episode of the year — we review what we know about the crash of sj in indonesia boeing’s defer…"
"190","sending our prayers to the passengers and families of sj everyone affected by the landslide in sumedang earthquake in…"
"191","sending our prayers to the passengers and families of sj everyone affected by the landslide in sumedang earthquake in…"
"192","sending our prayers to the passengers and families of sj everyone affected by the landslide in sumedang earthquake in…"
"193","sending our prayers to the passengers and families of sj everyone affected by the landslide in sumedang earthquake in…"
"194","sending our prayers to the passengers and families of sj everyone affected by the landslide in sumedang earthquake in…"
"195","sending our prayers to the passengers and families of sj everyone affected by the landslide in sumedang earthquake in…"
"196","sending our prayers to the passengers and families of sj everyone affected by the landslide in sumedang earthquake in…"
"197","<U+0001F195> avtalk ep— we discuss the crash of sj covid’s continuing impacts on aviation norwegian’s move away from lo…"
"198","our first new avtalk episode of the year — we review what we know about the crash of sj in indonesia boeing’s defer…"
"199","our first new avtalk episode of the year — we review what we know about the crash of sj in indonesia boeing’s defer…"
"200","sending our prayers to the passengers and families of sj everyone affected by the landslide in sumedang earthquake in…"
"201","our first new avtalk episode of the year — we review what we know about the crash of sj in indonesia boeing’s defer…"
"202","our first new avtalk episode of the year — we review what we know about the crash of sj in indonesia boeing’s defer…"
